Week,City,"Employees, Total","Expatriate Employees, Female","Expatriate Employees, Total",Industry,"Saudi Employees, Male","Saudis Employees, Total","Expatriate Employees, Male",Firms,"Saudi Employees, Female"
6/11/11 0:00,703,884876,0,795151,444,0,89725,0,20310,0
6/18/11 0:00,703,884876,0,795151,444,0,89725,0,20310,0
6/25/11 0:00,703,911142,0,801427,444,0,109715,0,20524,0
7/2/11 0:00,703,923252,0,800829,444,0,122423,0,20575,0
7/9/11 0:00,703,927861,0,800150,444,0,127711,0,20597,0
7/16/11 0:00,703,927861,0,800150,444,0,127711,0,20597,0
7/23/11 0:00,741,928245,0,796286,456,0,131959,0,20597,0
7/30/11 0:00,741,931319,0,797983,456,0,133336,0,20714,0
8/6/11 0:00,741,932234,0,795312,456,0,136922,0,20644,0
8/13/11 0:00,741,932234,0,795312,456,0,136922,0,20644,0
8/20/11 0:00,741,921643,0,780176,456,0,141467,0,20583,0
8/27/11 0:00,741,921643,0,780176,456,0,141467,0,20583,0
9/3/11 0:00,741,923921,0,778583,456,0,145338,0,20582,0
9/10/11 0:00,741,924758,0,778990,456,0,145768,0,20581,0
9/17/11 0:00,741,923218,0,775231,456,0,147987,0,20561,0
9/24/11 0:00,741,915170,0,766698,456,0,148472,0,20554,0
10/1/11 0:00,741,915774,0,765266,456,0,150508,0,20567,0
10/8/11 0:00,741,915189,0,762508,456,0,152681,0,20566,0
10/15/11 0:00,741,913197,0,759334,456,0,153863,0,20534,0
10/22/11 0:00,741,897535,0,754506,456,0,143029,0,20491,0
10/29/11 0:00,741,900818,0,751972,456,0,148846,0,20500,0
11/5/11 0:00,741,887714,0,736455,456,0,151259,0,20463,0
11/12/11 0:00,741,887714,0,736455,456,0,151259,0,20463,0
11/19/11 0:00,741,878256,0,726285,456,0,151971,0,20361,0
11/26/11 0:00,741,863202,0,714912,456,0,144646,0,20250,0
12/3/11 0:00,741,863103,0,710925,456,0,148502,0,20255,0
12/10/11 0:00,741,862953,0,707749,456,0,151542,0,20243,0
12/17/11 0:00,741,857449,0,702388,456,0,151935,0,20219,0
12/24/11 0:00,741,856283,0,700276,456,0,152679,0,20197,0
12/31/11 0:00,741,854134,0,697656,456,0,153128,0,20169,0
1/7/12 0:00,741,848810,0,695500,456,0,153310,0,20180,0
1/14/12 0:00,741,856105,15278,702543,456,139834,153562,687265,20272,13728
1/21/12 0:00,741,855370,15539,701292,456,140003,154078,685753,20275,14075
1/28/12 0:00,741,838250,3817,684173,456,139956,154077,680356,20124,14121
2/4/12 0:00,741,835847,3793,681395,456,139737,154452,677602,20138,14715
2/11/12 0:00,741,828085,3826,680226,456,132614,147859,676400,20166,15245
2/18/12 0:00,741,828602,3886,680159,456,132824,148443,676273,20187,15619
2/25/12 0:00,741,824224,3343,675366,456,132952,148858,672023,20157,15906
3/3/12 0:00,741,822921,3324,674142,456,132905,148779,670818,20144,15874
3/10/12 0:00,741,822354,3325,671503,456,134027,150851,668178,20173,16824
3/17/12 0:00,741,822990,3295,671558,456,134328,151432,668263,20173,17104
3/24/12 0:00,741,826226,3296,670968,456,137484,155258,667672,20192,17774
3/31/12 0:00,741,825215,3274,668898,456,138133,156317,665624,20165,18184
4/7/12 0:00,741,822196,3271,665519,456,138107,156677,662248,20154,18570
4/14/12 0:00,741,819701,3364,662877,456,137824,156824,659513,20146,19000
4/21/12 0:00,741,820347,3365,662422,456,138552,157925,659057,20142,19373
4/28/12 0:00,741,819986,3430,661103,456,139012,158883,657673,20190,19871
5/5/12 0:00,741,818738,3418,660046,456,138830,158692,656628,20165,19862
5/12/12 0:00,741,820235,3433,660112,456,139697,160123,656679,20201,20426
5/19/12 0:00,741,818534,3400,658508,456,139638,160026,655108,20195,20388
5/26/12 0:00,741,819121,3415,658489,456,139918,160632,655074,20208,20714
6/2/12 0:00,741,817198,3390,657015,456,139553,160183,653625,20196,20630
6/9/12 0:00,741,813901,3340,654490,456,138804,159411,651150,20177,20607
6/16/12 0:00,741,813382,3269,654342,456,137513,159040,651073,20268,21527
6/23/12 0:00,741,814421,3259,653796,456,138572,160625,650537,20246,22053
6/30/12 0:00,741,854150,3580,691831,456,139727,162319,688251,21369,22592
7/7/12 0:00,741,856691,3588,692818,456,140819,163873,689230,21400,23054
7/14/12 0:00,741,835705,3342,671102,456,141241,164603,667760,20765,23362
7/21/12 0:00,741,831099,3348,665701,456,141949,165398,662353,20755,23449
7/28/12 0:00,741,825852,3343,659333,456,142801,166519,655990,20580,23718
8/4/12 0:00,741,826724,3358,659528,456,142981,167196,656170,20609,24215
8/11/12 0:00,105,741183,2978,588368,168,130553,152815,585390,17921,22262
