,num_saudis_ma
4999,55399.642315592006
5000,55399.64939845157
5001,55399.65634105649
5002,55399.66314618408
5003,55399.66981655667
5004,55399.676354842675
5005,55399.68276365768
5006,55399.68904556545
5007,55399.695203079
5008,55399.70123866159
5009,55399.707154727694
5010,55399.712953643975
5011,55399.718637730235
5012,55399.72420926033
5013,55399.72967046309
5014,55399.73502352323
5015,55399.74027058217
5016,55399.74541373896
5017,55399.75045505106
5018,55399.75539653519
5019,55399.76024016816
5020,55399.764987887604
5021,55399.7696415928
5022,55399.77420314541
5023,55399.778674370245
5024,55399.78305705598
5025,55399.787352955864
5026,55399.79156378843
5027,55399.79569123816
5028,55399.79973695622
5029,55399.803702561054
5030,55399.80758963906
5031,55399.81139974522
5032,55399.81513440373
5033,55399.8187951086
5034,55399.822383324274
5035,55399.82590048617
5036,55399.82934800129
5037,55399.832727248795
5038,55399.8360395805
5039,55399.83928632148
5040,55399.842468770556
5041,55399.84558820084
5042,55399.848645860235
5043,55399.85164297191
5044,55399.854580734835
5045,55399.857460324245
5046,55399.860282892085
5047,55399.86304956749
5048,55399.86576145724
5049,55399.868419646205
5050,55399.87102519776
5051,55399.87357915424
5052,55399.87608253733
5053,55399.878536348464
5054,55399.88094156929
5055,55399.88329916198
5056,55399.88561006966
5057,55399.887875216795
5058,55399.89009550953
5059,55399.89227183608
5060,55399.89440506704
5061,55399.89649605581
5062,55399.89854563886
5063,55399.90055463611
5064,55399.90252385123
5065,55399.904454072
5066,55399.90634607058
5067,55399.90820060384
5068,55399.91001841366
5069,55399.91180022726
5070,55399.91354675741
5071,55399.9152587028
5072,55399.91693674828
5073,55399.91858156516
5074,55399.920193811384
5075,55399.92177413195
5076,55399.92332315904
5077,55399.92484151234
5078,55399.92632979922
5079,55399.92778861508
5080,55399.92921854349
5081,55399.93062015649
5082,55399.931994014776
5083,55399.93334066795
5084,55399.93466065473
5085,55399.93595450315
5086,55399.937222730805
5087,55399.93846584505
5088,55399.93968434317
5089,55399.94087871261
5090,55399.94204943117
5091,55399.943196967186
5092,55399.944321779716
