,num_saudis;real,num_saudis_ma;base
0,56972,
1,56972,
2,61958,
3,66310,
4,69096,
5,69096,
6,70721,
7,71343,
8,72823,
9,72823,
10,74126,
11,74126,
12,75314,
13,75570,
14,76687,
15,77301,
16,78296,
17,79306,
18,79893,
19,76183,
20,77619,
21,79525,
22,79525,
23,79234,
24,77966,
25,79685,
26,80215,
27,81979,
28,82983,
29,83485,
30,83691,
31,84026,
32,84125,
33,84616,
34,84780,
35,84759,
36,85407,
37,85656,
38,85429,
39,85963,
40,86369,
41,87150,
42,87416,
43,87897,
44,88561,
45,89322,
46,89841,
47,89961,
48,90172,
49,90156,
50,90301,
51,90266,
52,89999,
53,90327,
54,90726,
55,91542,
56,92297,
57,92681,
58,94287,
59,94362,
60,94734,
61,89418,
